id,node_code_st,node_code_en,voltage,length_km,reactance,ttc_mw
491,SS_475,SS_330,735,378.2,0.007,1910
492,SS_367,SS_329,735,396.6,0.00734,1910
493,SS_471,SS_474,735,173.8,0.00322,1910
494,VS_880,SS_471,735,3,6.00E-05,1910
495,SS_305,SS_181,735,369,0.00683,1910
496,VS_1047,SS_3,450,112.2,0.01602,1091
497,SS_477,SS_475,315,95.1,0.01917,928
498,SS_474,SS_367,735,358.2,0.00663,1910
499,SS_479,SS_477,315,168.1,0.03388,928
500,SS_483,SS_117,735,723.5,0.01339,5729
501,SS_491,SS_461,230,117.6,0.06427,558
502,SS_336,SS_335,230,50.2,0.02742,558
503,SS_15,SS_674,230,382.4,0.2089,558
504,SS_13,VS_883,230,88.6,0.0484,558
505,VS_1044,VS_1049,230,158.5,0.0866,558
506,SS_495,SS_506,240,15.1,0.00657,624
507,SS_500,SS_415,230,255.3,0.13949,558
508,SS_417,VS_1044,230,317.7,0.17358,558
509,SS_417,SS_440,230,234.6,0.12815,558
510,VS_1052,SS_504,240,30.8,0.01335,624
511,SS_508,VS_1052,240,13.2,0.00573,624
512,SS_504,SS_507,500,3.5,0.00018,1039
513,SS_508,SS_552,240,236.2,0.10253,624
514,SS_433,VS_1053,240,8.8,0.0038,624
515,SS_431,SS_606,240,14.7,0.0064,624
516,SS_606,VS_1054,240,2.2,0.00095,624
517,SS_509,SS_800,240,71.3,0.03096,624
518,SS_13,SS_290,500,309.2,0.01558,1039
